NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-05-31%2018:04:04;FII CSHG LOG (HGLG) Aviso aos Cotistas  - 31/05/2023(N);2224529;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=472336
18;;2023-05-31%2018:00:16;FII CSHG LOG (HGLG) Aviso aos Cotistas  - 31/05/2023;2224489;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=472336
18;;2023-05-18%2018:14:52;FII CSHG LOG (HGLG) Fato Relevante - 18/05/2023;2211949;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=466947
18;;2023-05-18%2009:46:00;FII CSHG LOG (HGLG) Formulario de Subscricao de Cotas - 18/05/2023(N);2210715;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=466560
18;;2023-05-18%2009:28:04;FII CSHG LOG (HGLG) Formulario de Subscricao de Cotas - 18/05/2023;2210702;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=466560
18;;2023-05-16%2012:07:36;FII CSHG LOG (HGLG) Anuncio de Inicio Distribuicao Cotas - 15/05/2023(N);2207768;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=465179
18;;2023-05-15%2021:22:50;FII CSHG LOG (HGLG) Fato Relevante - 15/05/2023;2206521;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=465188
18;;2023-05-15%2021:22:50;FII CSHG LOG (HGLG) Anúncio de Início Distribuição Cotas - 15/05/2023;2206520;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=465179
18;;2023-05-12%2017:57:14;FII CSHG LOG (HGLG) Informe Mensal - 04/2023;2203731;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=462079
18;;2023-05-11%2021:22:41;FII CSHG LOG (HGLG) Informe Anual (Anexo 39-V ICVM 472)  - 04/2023;2201669;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=461003
18;;2023-05-11%2019:38:05;FII CSHG LOG (HGLG) Informe Trimestral - 31/03/2023;2201621;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=460936
18;;2023-05-10%2018:49:37;FII CSHG LOG (HGLG) Relatorio Gerencial - 28/04/2023;2200046;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=459981
18;;2023-05-08%2018:24:05;FII CSHG LOG (HGLG) Perfil do Fundo Estruturado - 28/04/2023;2196558;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=457904
18;;2023-05-05%2012:15:50;FII CSHG LOG (HGLG) AGE - Ata da Assembleia - 05/05/2023 10:00;2193305;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=456756
