NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-02-24%2018:14:12;FII XP MALLS (XPML) Fato Relevante - 24/02/2023;2113715;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=421132
18;;2023-02-17%2019:22:59;FII XP MALLS (XPML) Fato Relevante - 17/02/2023;2108837;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=420015
18;;2023-02-16%2008:03:57;FII XP MALLS (XPML) Informe Mensal - 01/2023;2105804;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=418837
18;;2023-02-15%2018:16:16;FII XP MALLS (XPML) Fato Relevante - 15/02/2023;2105258;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=418420
18;;2023-02-15%2017:58:20;FII XP MALLS (XPML) Aviso aos Cotistas  - 15/02/2023(N);2105007;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=418360
18;;2023-02-15%2017:56:39;FII XP MALLS (XPML) Aviso aos Cotistas  - 15/02/2023;2105006;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=418360
18;;2023-02-14%2019:05:45;FII XP MALLS (XPML) Informe Trimestral - 31/12/2022;2103222;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=416939
18;;2023-02-07%2018:02:40;FII XP MALLS (XPML) Relatorio Gerencial - 31/01/2023;2093863;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=411503
