NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-10-31%2018:26:50;FII CSHG LOG (HGLG) Aviso aos Cotistas  - 31/10/2023(N);2376748;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=544308
18;;2023-10-31%2017:06:49;FII CSHG LOG (HGLG) Aviso aos Cotistas  - 31/10/2023;2376326;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=544308
18;;2023-10-13%2018:23:00;FII CSHG LOG (HGLG) Informe Mensal - 09/2023;2362919;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=535935
18;;2023-10-10%2019:29:43;FII CSHG LOG (HGLG) Relatorio Gerencial - 29/09/2023;2360651;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=534421
