NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2024-01-23%2017:38:55;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 23/01/2024;2454737;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=588838
18;;2024-01-16%2016:11:12;FIAGRO SUNO (SNAG) Informe Mensal - 12/2023;2448571;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=585758
18;;2024-01-15%2013:06:10;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 15/01/2024 (R)(N);2446902;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=584180
18;;2024-01-15%2011:26:38;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 15/01/2024 (R);2446753;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=584180
18;;2024-01-15%2011:11:42;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 15/01/2024(N);2446733;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=584015
18;;2024-01-15%2009:55:01;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 15/01/2024;2446596;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=584015
