NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-02-27%2011:56:18;FIAGRO SUNO (SNAG) Relatorio Gerencial - 27/02/2023;2114730;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=421525
18;;2023-02-15%2018:07:48;FIAGRO SUNO (SNAG) Informe Mensal - 01/2023;2105124;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=418398
18;;2023-02-14%2012:51:37;FIAGRO SUNO (SNAG) Informe Trimestral - 31/12/2022;2102254;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=415902
18;;2023-02-09%2009:58:58;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 09/02/2023(N);2096027;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=412297
18;;2023-02-09%2009:13:13;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 09/02/2023;2095922;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=412297
