NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-06-29%2018:41:02;FII XP MALLS (XPML) Anuncio Encerramento Distribuicao Cotas - 27/06/2023 (R);2255672;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=484924
18;;2023-06-27%2018:02:06;FII XP MALLS (XPML) Anuncio Encerramento Distribuicao Cotas - 27/06/2023;2253260;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=483179
18;;2023-06-19%2014:11:07;FII XP MALLS (XPML) Informe Mensal - 05/2023 (R);2244863;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=480222
18;;2023-06-16%2017:57:12;FII XP MALLS (XPML) Aviso aos Cotistas  - 16/06/2023(N);2243939;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=480036
18;;2023-06-16%2017:55:21;FII XP MALLS (XPML) Aviso aos Cotistas  - 16/06/2023;2243937;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=480036
18;;2023-06-16%2008:04:13;FII XP MALLS (XPML) Informe Mensal - 05/2023;2242464;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=479442
18;;2023-06-14%2016:23:30;FII XP MALLS (XPML) Formulario de Subscricao de Cotas - 25/05/2023 (R);2239763;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=477837
18;;2023-06-13%2018:02:32;FII XP MALLS (XPML) Anuncio Encerramento Distribuicao Cotas - 13/06/2023;2238342;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=477483
18;;2023-06-07%2018:02:54;FII XP MALLS (XPML) Relatorio Gerencial - 31/05/2023;2232206;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=475277
18;;2023-06-07%2014:51:24;FII XP MALLS (XPML) Formulario de Subscricao de Cotas - 25/05/2023 (R);2231741;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=474671
