NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-02-28%2017:45:28;FII MAXI REN (MXRF) Aviso aos Cotistas  - 28/02/2023(N);2117397;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=422700
18;;2023-02-28%2017:36:21;FII MAXI REN (MXRF) Aviso aos Cotistas  - 28/02/2023;2117317;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=422700
18;;2023-02-23%2018:05:09;FII MAXI REN (MXRF) Relatorio Gerencial - 31/01/2023;2112314;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=420661
18;;2023-02-16%2008:04:06;FII MAXI REN (MXRF) Outros Comunicados ao Mercado - 15/02/2023;2105889;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=419049
18;;2023-02-16%2008:03:52;FII MAXI REN (MXRF) Informe Mensal - 01/2023;2105763;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=418777
18;;2023-02-14%2008:02:02;FII MAXI REN (MXRF) Informe Trimestral - 31/12/2022;2101648;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=415419
18;;2023-02-08%2019:47:36;FII MAXI REN (MXRF) Outros Relatorios - 30/12/2022;2095549;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=412225
