NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2024-01-31%2019:57:42;FII XP MALLS (XPML) Fato Relevante - 31/01/2024;2462987;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=593811
18;;2024-01-26%2019:40:15;FII XP MALLS (XPML) Fato Relevante - 26/01/2024;2458436;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=590623
18;;2024-01-24%2013:52:40;FII XP MALLS (XPML) Outros Comunicados ao Mercado - 24/01/2024(N);2455717;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=589036
18;;2024-01-24%2010:43:57;FII XP MALLS (XPML) Outros Comunicados ao Mercado - 24/01/2024;2455454;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=589036
18;;2024-01-19%2018:59:33;FII XP MALLS (XPML) Informe Mensal - 12/2023 (R);2452692;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=588007
18;;2024-01-18%2017:43:06;FII XP MALLS (XPML) Aviso aos Cotistas  - 18/01/2024(N);2451398;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=587379
18;;2024-01-18%2017:28:55;FII XP MALLS (XPML) Aviso aos Cotistas  - 18/01/2024;2451382;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=587379
18;;2024-01-15%2019:15:47;FII XP MALLS (XPML) Informe Mensal - 12/2023;2447580;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=585019
18;;2024-01-15%2018:34:51;FII XP MALLS (XPML) Fato Relevante - 15/01/2024;2447526;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=584930
18;;2024-01-08%2019:48:43;FII XP MALLS (XPML) Formulario de Subscricao de Cotas - 08/01/2024;2441530;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=581214
18;;2024-01-08%2018:10:49;FII XP MALLS (XPML) Relatorio Gerencial - 29/12/2023;2441355;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=581115
18;;2024-01-04%2009:20:49;FII XP MALLS (XPML) Anuncio de Inicio Distribuicao Cotas - 03/01/2024(N);2438328;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=579188
18;;2024-01-04%2008:15:30;FII XP MALLS (XPML) Inst. Particular de Emissao de Cotas - 03/01/2024;2438303;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=579187
18;;2024-01-04%2008:15:30;FII XP MALLS (XPML) Anuncio de Inicio Distribuicao Cotas - 03/01/2024;2438304;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=579188
18;;2024-01-04%2008:15:30;FII XP MALLS (XPML) Fato Relevante - 03/01/2024;2438305;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=579189
