NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-02-28%2018:00:15;FII CSHG LOG (HGLG) Aviso aos Cotistas  - 28/02/2023(N);2117604;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=422789
18;;2023-02-28%2017:55:39;FII CSHG LOG (HGLG) Aviso aos Cotistas  - 28/02/2023;2117501;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=422789
18;;2023-02-13%2018:21:10;FII CSHG LOG (HGLG) Informe Mensal - 01/2023;2101116;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=415226
18;;2023-02-13%2008:05:13;FII CSHG LOG (HGLG) Informe Trimestral - 31/12/2022;2099943;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=413944
18;;2023-02-10%2018:17:37;FII CSHG LOG (HGLG) Relatorio Gerencial - 31/01/2023;2098981;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=413779
