NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-12-28%2018:54:15;FII MAXI REN (MXRF) Aviso aos Cotistas  - 28/12/2023(N);2434463;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=577270
18;;2023-12-28%2017:18:16;FII MAXI REN (MXRF) Aviso aos Cotistas  - 28/12/2023;2433862;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=577270
18;;2023-12-27%2018:54:05;FII MAXI REN (MXRF) Outros Comunicados ao Mercado - 27/12/2023;2432532;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=576334
18;;2023-12-18%2008:10:49;FII MAXI REN (MXRF) Informe Mensal - 11/2023;2424064;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=571313
18;;2023-12-15%2008:10:39;FII MAXI REN (MXRF) Outros Comunicados ao Mercado - 14/12/2023(N);2422371;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=570245
18;;2023-12-14%2019:55:16;FII MAXI REN (MXRF) Outros Comunicados ao Mercado - 14/12/2023;2422346;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=570245
18;;2023-12-01%2018:19:22;FII MAXI REN (MXRF) Relatorio Gerencial - 31/10/2023;2409295;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=563134
