NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-12-18%2008:10:59;FII XP MALLS (XPML) Informe Mensal - 11/2023;2424146;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=571425
18;;2023-12-15%2017:31:43;FII XP MALLS (XPML) Aviso aos Cotistas  - 15/12/2023(N);2423512;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=570890
18;;2023-12-15%2017:29:08;FII XP MALLS (XPML) Aviso aos Cotistas  - 15/12/2023;2423505;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=570890
18;;2023-12-14%2018:10:55;FII XP MALLS (XPML) Fato Relevante - 14/12/2023;2422106;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=570085
18;;2023-12-11%2018:37:54;FII XP MALLS (XPML) Outros Comunicados ao Mercado - 11/12/2023;2417875;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=567927
18;;2023-12-07%2018:47:14;FII XP MALLS (XPML) Relatorio Gerencial - 30/11/2023;2414592;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=566274
18;;2023-12-04%2008:00:53;FII XP MALLS (XPML) Informe Trimestral - 31/12/2022 (R);2409600;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=563206
