NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-04-28%2019:05:24;FII MAXI REN (MXRF) Aviso aos Cotistas  - 28/04/2023(N);2185489;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=453634
18;;2023-04-28%2017:36:58;FII MAXI REN (MXRF) Aviso aos Cotistas  - 28/04/2023;2184447;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=453634
18;;2023-04-25%2018:39:33;FII MAXI REN (MXRF) Relatorio Gerencial - 30/03/2023;2177299;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=450280
18;;2023-04-20%2008:02:44;FII MAXI REN (MXRF) Outros Comunicados ao Mercado - 19/04/2023;2172675;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=448421
18;;2023-04-17%2021:46:43;FII MAXI REN (MXRF) Informe Mensal - 03/2023;2169583;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=447293
18;;2023-04-04%2018:18:23;FII MAXI REN (MXRF) AGO/E - Carta Consulta - 05/05/2023 10:00 (R);2158367;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=440575
