NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-07-31%2009:54:27;FIAGRO SUNO (SNAG) Relatorio Gerencial - 31/07/2023;2284848;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=498475
18;;2023-07-26%2010:51:20;FIAGRO SUNO (SNAG) Fato Relevante - 25/07/2023 (R)(N);2281076;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=496320
18;;2023-07-25%2019:29:40;FIAGRO SUNO (SNAG) Fato Relevante - 25/07/2023 (R);2280701;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=496320
18;;2023-07-25%2018:09:31;FIAGRO SUNO (SNAG) Fato Relevante - 25/07/2023;2280582;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=496277
18;;2023-07-25%2018:01:40;FIAGRO SUNO (SNAG) AGE - Ata da Assembleia - 25/07/2023 18:00;2280552;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=496262
18;;2023-07-21%2012:15:13;FIAGRO SUNO (SNAG) AGE - Edital de Convocacao - 25/07/2023 18:00(N);2277502;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=488090
18;;2023-07-21%2009:47:43;FIAGRO SUNO (SNAG) Relatorio Gerencial - 21/07/2023;2277170;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=494943
18;;2023-07-19%2018:30:16;FIAGRO SUNO (SNAG) AGE - Proposta da Administradora - 25/07/2023 18:00 (R);2275737;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=494072
18;;2023-07-11%2011:27:50;FIAGRO SUNO (SNAG) Informe Mensal - 06/2023;2266278;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=489337
18;;2023-07-07%2018:09:55;FIAGRO SUNO (SNAG) AGE - Proposta da Administradora - 25/07/2023 18:00;2264301;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=488091
18;;2023-07-07%2018:08:33;FIAGRO SUNO (SNAG) AGE - Edital de Convocacao - 25/07/2023 18:00;2264298;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=488090
18;;2023-07-07%2017:36:00;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 07/07/2023(N);2264132;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=487859
18;;2023-07-07%2014:04:09;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 07/07/2023;2263748;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=487859
