NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-06-30%2018:06:00;FII CSHG LOG (HGLG) Aviso aos Cotistas  - 30/06/2023;2257223;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=485803
18;;2023-06-30%2008:17:34;FII CSHG LOG (HGLG) Fato Relevante - 29/06/2023;2255916;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=485042
18;;2023-06-27%2018:56:42;FII CSHG LOG (HGLG) Fato Relevante - 27/06/2023;2253358;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=483271
18;;2023-06-16%2019:06:50;FII CSHG LOG (HGLG) Outros Docs da Oferta Distribuicao Cotas - 16/06/2023;2244087;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=480110
18;;2023-06-13%2019:18:23;FII CSHG LOG (HGLG) Informe Mensal - 05/2023;2238443;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=477564
18;;2023-06-12%2019:40:54;FII CSHG LOG (HGLG) Relatorio Gerencial - 31/05/2023;2236488;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=477003
18;;2023-06-12%2009:18:58;FII CSHG LOG (HGLG) Fato Relevante - 12/06/2023;2234965;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=476489
18;;2023-06-09%2018:18:55;FII CSHG LOG (HGLG) Fato Relevante - 09/06/2023;2234607;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=475836
18;;2023-06-06%2018:26:48;FII CSHG LOG (HGLG) Fato Relevante - 06/06/2023;2230544;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=474315
18;;2023-06-05%2009:26:35;FII CSHG LOG (HGLG) Outros Docs da Oferta Distribuicao Cotas - 02/06/2023(N);2228033;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=473412
18;;2023-06-02%2019:05:24;FII CSHG LOG (HGLG) Outros Docs da Oferta Distribuicao Cotas - 02/06/2023;2227751;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=473412
