NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-12-28%2018:08:21;FIAGRO SUNO (SNAG) Relatorio Gerencial - 28/12/2023;2434187;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=577461
18;;2023-12-19%2011:46:31;FIAGRO SUNO (SNAG) Relatorio Gerencial - 12/12/2023 (R);2426293;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=572815
18;;2023-12-14%2016:01:07;FIAGRO SUNO (SNAG) Informe Mensal - 11/2023;2421704;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=569886
18;;2023-12-13%2010:52:19;FIAGRO SUNO (SNAG) Relatorio Gerencial - 13/12/2023;2419756;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=568768
18;;2023-12-12%2016:50:20;FIAGRO SUNO (SNAG) Relatório Gerencial - 12/12/2023;2418981;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=568410
18;;2023-12-07%2017:34:35;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 07/12/2023(N);2414310;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=566060
18;;2023-12-07%2017:32:42;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 07/12/2023;2414304;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=566060
