NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-04-27%2010:35:08;FIAGRO SUNO (SNAG) Relatorio Gerencial - 27/04/2023;2179937;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=451103
18;;2023-04-19%2017:38:59;FIAGRO SUNO (SNAG) Informe Mensal - 01/2023 (R);2172204;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=448184
18;;2023-04-19%2016:49:37;FIAGRO SUNO (SNAG) Informe Mensal - 12/2022 (R);2172147;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=448159
18;;2023-04-19%2016:05:44;FIAGRO SUNO (SNAG) Informe Trimestral - 31/12/2022 (R);2172050;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=448132
18;;2023-04-17%2017:45:08;FIAGRO SUNO (SNAG) Informe Mensal - 03/2023;2169118;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=446856
18;;2023-04-06%2017:38:12;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 06/04/2023(N);2160893;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=441510
18;;2023-04-06%2017:32:16;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 06/04/2023(N);2160873;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=441510
18;;2023-04-06%2014:54:39;FIAGRO SUNO (SNAG) Outros Relatorios - 06/04/2023;2160511;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=441608
18;;2023-04-06%2013:12:57;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 06/04/2023;2160423;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=441510
18;;2023-04-04%2018:50:36;FIAGRO SUNO (SNAG) Relatorio Gerencial - 04/04/2023;2158427;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=440601
18;;2023-04-03%2008:12:11;FIAGRO SUNO (SNAG) AGO - Edital de Convocacao - 03/05/2023 18:00;2155783;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=439159
18;;2023-04-03%2008:12:03;FIAGRO SUNO (SNAG) Demonstracoes Financeiras - 31/12/2022;2155770;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=439124
