NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-06-30%2014:48:10;FIAGRO SUNO (SNAG) Relatorio Gerencial - 30/06/2023;2256513;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=485339
18;;2023-06-22%2009:52:16;FIAGRO SUNO (SNAG) Relatorio Gerencial - 21/06/2023;2248121;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=481259
18;;2023-06-15%2014:34:39;FIAGRO SUNO (SNAG) Informe Mensal - 05/2023;2241614;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=478698
18;;2023-06-09%2017:22:54;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 09/06/2023(N);2234505;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=475484
18;;2023-06-09%2009:16:11;FIAGRO SUNO (SNAG) Aviso aos Cotistas  - 09/06/2023;2232993;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=475484
