NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-03-31%2020:46:22;FII MAXI REN (MXRF) Informe Anual - 12/2022;2155380;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=438846
18;;2023-03-31%2017:34:27;FII MAXI REN (MXRF) Aviso aos Cotistas  - 31/03/2023(N);2154520;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=438183
18;;2023-03-31%2017:33:28;FII MAXI REN (MXRF) Aviso aos Cotistas  - 31/03/2023;2154514;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=438183
18;;2023-03-30%2008:55:17;FII MAXI REN (MXRF) AGO/E-Proposta do Administrador - 05/05/2023 10:00;2151646;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=436541
18;;2023-03-30%2008:52:15;FII MAXI REN (MXRF) AGO/E - Carta Consulta - 05/05/2023 10:00;2151643;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=436540
18;;2023-03-29%2019:33:40;FII MAXI REN (MXRF) AGO/E-Proposta do Administrador - 05/05/2023 10:00;2151289;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=436427
18;;2023-03-29%2019:31:46;FII MAXI REN (MXRF) AGO/E - Carta Consulta - 05/05/2023 10:00;2151281;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=436424
18;;2023-03-29%2008:07:06;FII MAXI REN (MXRF) Demonstracoes Financeiras - 31/12/2022;2150040;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=435272
18;;2023-03-21%2017:14:52;FII MAXI REN (MXRF) Relatorio Gerencial - 28/02/2023;2141492;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=432434
18;;2023-03-15%2020:51:26;FII MAXI REN (MXRF) Informe Mensal - 02/2023;2135630;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=430797
18;;2023-03-01%2008:04:18;FII MAXI REN (MXRF) Outros Comunicados ao Mercado - 28/02/2023;2118633;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=423267
