NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2024-01-31%2017:31:55;FII MAXI REN (MXRF) Aviso aos Cotistas  - 31/01/2024(N);2462511;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=593480
18;;2024-01-31%2017:27:06;FII MAXI REN (MXRF) Aviso aos Cotistas  - 31/01/2024;2462487;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=593480
18;;2024-01-25%2018:05:38;FII MAXI REN (MXRF) Outros Relatorios - 25/01/2024;2456892;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=589951
18;;2024-01-17%2008:22:02;FII MAXI REN (MXRF) Outros Comunicados ao Mercado - 16/01/2024;2449310;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=586237
18;;2024-01-17%2008:22:02;FII MAXI REN (MXRF) Outros Comunicados ao Mercado - 16/01/2024;2449317;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=586237
18;;2024-01-16%2018:11:24;FII MAXI REN (MXRF) Relatorio Gerencial - 31/12/2023;2448882;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=586004
18;;2024-01-16%2008:21:33;FII MAXI REN (MXRF) Informe Mensal - 12/2023;2447720;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=585208
18;;2024-01-11%2013:40:01;FII MAXI REN (MXRF) Anuncio Encerramento Distribuicao Cotas - 05/01/2024 (R)(N);2444601;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=582390
18;;2024-01-10%2018:33:15;FII MAXI REN (MXRF) Anuncio Encerramento Distribuicao Cotas - 05/01/2024 (R);2443992;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=582390
18;;2024-01-08%2017:35:55;FII MAXI REN (MXRF) Anuncio Encerramento Distribuicao Cotas - 05/01/2024(N);2441174;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=580366
18;;2024-01-05%2018:04:40;FII MAXI REN (MXRF) Anuncio Encerramento Distribuicao Cotas - 05/01/2024;2440047;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=580366
18;;2024-01-03%2018:18:01;FII MAXI REN (MXRF) Relatorio Gerencial - 30/11/2023;2437894;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=579069
