NwsMsg.IdAgencia;NwsMsg.content;NwsMsg.dateTime;NwsMsg.headline;NwsMsg.id;link
18;;2023-10-31%2008:07:40;FII XP MALLS (XPML) AGO - Ata da Assembleia - 30/10/2023 10:00;2375544;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=543710
18;;2023-10-31%2008:07:39;FII XP MALLS (XPML) AGO - Resumo das Deliberacoes - 30/10/2023 10:00;2375542;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=543708
18;;2023-10-23%2017:17:59;FII XP MALLS (XPML) Informe Mensal - 09/2023 (R);2369638;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=540278
18;;2023-10-18%2018:37:07;FII XP MALLS (XPML) Fato Relevante - 18/10/2023;2366600;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=538542
18;;2023-10-18%2017:52:24;FII XP MALLS (XPML) Aviso aos Cotistas  - 18/10/2023(N);2366514;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=538409
18;;2023-10-18%2017:23:09;FII XP MALLS (XPML) Aviso aos Cotistas  - 18/10/2023;2366456;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=538409
18;;2023-10-17%2008:14:05;FII XP MALLS (XPML) Informe Mensal - 09/2023;2364639;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=537523
18;;2023-10-06%2019:25:26;FII XP MALLS (XPML) Relatorio Gerencial - 30/09/2023;2358341;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=532564
